Injury.Severity,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
Non-Fatal,Airplane,Piper,PA-28-140,Yes,1.0,Reciprocating,Personal,VMC
Fatal(4),Airplane,Cessna,P210N,No,1.0,Reciprocating,Unknown,IMC
Non-Fatal,Airplane,Rockwell Comdr,112TCA,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-28-180,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Bellanca,7KCAB,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172N,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Piper,PA-38,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,177RG,No,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Instructional,VMC
Fatal(1),Airplane,Cessna,172N,No,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Cessna,C-172,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Piper,PA-18A-150,No,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Piper,PA-28R-201,No,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Piper,PA-28-161,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,182P,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,140,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Beech,C-23,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Piper,PA-38-112,No,1.0,Reciprocating,Instructional,VMC
Fatal(1),Airplane,Beech,V35A,No,1.0,Reciprocating,Personal,VMC
Incident,Airplane,Beech,200,No,2.0,Turbo Prop,Executive/corporate,IMC
Non-Fatal,Airplane,Cessna,310R,No,2.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,402B,No,2.0,Reciprocating,Business,IMC
Non-Fatal,Airplane,Cessna,185,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Cessna,310,No,2.0,Reciprocating,Personal,VMC
Fatal(2),Airplane,Beech,95-C55,No,2.0,Reciprocating,Business,IMC
Non-Fatal,Airplane,Cessna,172K,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,421B,No,2.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Cessna,401,No,2.0,Reciprocating,Business,VMC
Fatal(2),Airplane,Cessna,421,No,2.0,Reciprocating,Unknown,IMC
Non-Fatal,Airplane,Grumman,G-164B,No,1.0,Reciprocating,Aerial Application,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Fatal(1),Airplane,Piper,PA-60-602P,,2.0,Reciprocating,Personal,VMC
Incident,Airplane,De Havilland,DHC-6-100,No,2.0,Turbo Prop,Unknown,VMC
Non-Fatal,Airplane,Piper,PA-24-250,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Howard Aircraft Corp.,500,No,2.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Fatal(4),Airplane,Cessna,172K,No,1.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Piper,PA-34,No,2.0,Reciprocating,Personal,IMC
Fatal(2),Airplane,Rockwell,112A,No,1.0,Reciprocating,Personal,IMC
Fatal(4),Airplane,Beech,J35,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,150,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Aeronca,7AC,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-18,No,1.0,Reciprocating,Personal,UNK
Non-Fatal,Airplane,Cessna,150,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Aeronca,7EC,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,150,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Bellanca,17-30A,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,150,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-38-112,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Piper,PA-28-161,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172N,No,1.0,Reciprocating,Personal,VMC
Fatal(2),Airplane,Porterfield,CP-65,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-28-161,No,1.0,Reciprocating,Personal,VMC
Incident,Airplane,Boeing,B737-2H4,No,2.0,Turbo Jet,Unknown,IMC
Non-Fatal,Airplane,Cessna,310D,No,2.0,Reciprocating,Unknown,VMC
Fatal(1),Airplane,Piper,PA-23,No,2.0,Reciprocating,Ferry,VMC
Non-Fatal,Airplane,Mooney,M20J,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-28-151,No,1.0,Reciprocating,Business,IMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Piper,PA-28-151,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152(II),No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Beech,35,No,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Piper,PA-28R-180,No,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Cessna,150M,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Bellanca,8GCBC,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-31-310,No,2.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,VMC
Fatal(8),Airplane,Piper,PA-31T2,No,2.0,Turbo Prop,Business,IMC
Non-Fatal,Airplane,Beech,90,No,2.0,Turbo Prop,Personal,IMC
Non-Fatal,Airplane,Nihon,YS-11A,No,2.0,Turbo Prop,Unknown,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,172M,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-28RT-201T,No,1.0,Reciprocating,Business,IMC
Non-Fatal,Airplane,Bellanca,7ECA,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,177RG,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,210,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,210,No,1.0,Reciprocating,Business,IMC
Non-Fatal,Airplane,Piper,PA-23,No,2.0,Reciprocating,Unknown,IMC
Incident,Airplane,Embraer,EMB-11OP1,No,2.0,Turbo Prop,Unknown,VMC
Fatal(1),Airplane,Beech,A36,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Cessna,T210N,No,1.0,Reciprocating,Personal,VMC
