Injury.Severity,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
,Airplane,BOEING,737-236,No,,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,CESSNA,CE-560,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,ERJ 190-100 IGW,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,VMC
,Airplane,AIRBUS,A319,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOMBARDIER,CL-600-2B16,No,2.0,Turbo Fan,Personal,IMC
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,767-3P6,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,767,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,A320,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,717-200,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,A319-111,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,777-200,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,BOMBARDIER,CL600 2C10,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,GATES LEARJET CORP.,35A,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,DOUGLAS,DC8,No,4.0,Turbo Fan,,
,Airplane,AIRBUS,A300-600R,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOMBARDIER,CL600,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,680,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,BOEING,737-7H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER INC,BD-100-1A10,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,525,No,,Turbo Fan,Positioning,VMC
